实体编码,待爬数据,需爬取总量,现有数据,昨日爬取数据
ABCORGANIZE,86,22936,23796,0
BOCOMORGANIZE,2436,138989,24807,0
BOCORGANIZE,10646,129059,51618,0
CBHBORGANIZE,0,52,52,0
CCBORGANIZE,79,2131,2053,0
CEBORGANIZE,0,1042,1043,0
CGBORGANIZE,0,0,0,0
CIBORGANIZE,0,43,43,0
CMBCORGANIZE,0,0,0,0
CMBORGANIZE,1,1658,1661,0
count_organize,0,0,0,0
CZBORGANIZE,0,1,1,0
EBCLORGANIZE,0,262425,20462,935
ECITICORGANIZE,174,84549,31194,2023
HXBORGANIZE,1,820,819,0
ICBCORGANIZE,32,11486,11479,0
PABORGANIZE,3,942,941,0
PSBCORGANIZE,0,0,0,0
SPDBORGANIZE,0,829,808,0
